Order ID,Order Date,Ship Date,Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
US-01041,2014-01-01,2014-01-02,Consumer,Central,Furniture,Chairs,595.4,2,0.0,169.05
US-02923,2014-01-01,2014-01-01,Home Office,South,Office Supplies,Paper,73.36,2,0.0,6.77
US-00009,2014-01-02,2014-01-06,Consumer,West,Furniture,Tables,5631.31,4,0.2,192.28
US-00009,2014-01-02,2014-01-06,Home Office,South,Office Supplies,Art,1233.23,5,0.0,108.19
US-00009,2014-01-02,2014-01-05,Consumer,East,Technology,Phones,656.01,1,0.1,32.18
US-01139,2014-01-02,2014-01-02,Corporate,East,Office Supplies,Appliances,358.99,1,0.0,85.02
US-02120,2014-01-02,2014-01-04,Corporate,East,Office Supplies,Labels,34.95,2,0.1,1.66
US-02120,2014-01-02,2014-01-06,Home Office,South,Technology,Copiers,809.08,1,0.0,118.9
US-00047,2014-01-03,2014-01-03,Corporate,South,Office Supplies,Supplies,20.3,2,0.1,2.41
US-00047,2014-01-03,2014-01-08,Corporate,South,Technology,Copiers,3571.05,2,0.0,853.5
US-01262,2014-01-03,2014-01-04,Consumer,West,Technology,Phones,1002.49,2,0.0,128.94
US-01367,2014-01-03,2014-01-08,Home Office,West,Furniture,Bookcases,1115.98,4,0.0,296.29
US-03293,2014-01-03,2014-01-06,Corporate,Central,Technology,Accessories,100.09,1,0.0,16.8
US-03293,2014-01-03,2014-01-09,Corporate,West,Office Supplies,Storage,332.46,1,0.0,96.09
US-00022,2014-01-04,2014-01-09,Corporate,South,Furniture,Chairs,335.34,3,0.0,48.35
US-00022,2014-01-04,2014-01-07,Corporate,South,Office Supplies,Supplies,107.96,3,0.0,11.61
US-01678,2014-01-04,2014-01-07,Corporate,South,Furniture,Tables,1380.32,1,0.0,479.54
US-02075,2014-01-04,2014-01-05,Consumer,East,Technology,Machines,314.64,1,0.0,86.07
US-02075,2014-01-04,2014-01-07,Consumer,East,Technology,Phones,1254.33,2,0.0,346.83
US-02604,2014-01-04,2014-01-06,Home Office,South,Office Supplies,Supplies,154.88,2,0.0,49.37
US-02604,2014-01-04,2014-01-08,Consumer,South,Furniture,Chairs,236.98,3,0.0,13.94
US-03402,2014-01-04,2014-01-06,Home Office,East,Office Supplies,Appliances,195.0,1,0.0,56.86
US-03402,2014-01-04,2014-01-10,Consumer,East,Office Supplies,Appliances,250.89,4,0.0,76.98
US-03943,2014-01-04,2014-01-09,Corporate,West,Technology,Phones,1545.24,2,0.0,441.19
US-03943,2014-01-04,2014-01-05,Home Office,Central,Office Supplies,Storage,206.03,1,0.1,26.86
US-04168,2014-01-04,2014-01-10,Home Office,East,Furniture,Chairs,347.08,1,0.0,32.94
US-04168,2014-01-04,2014-01-04,Corporate,West,Technology,Copiers,1602.27,4,0.0,296.66
US-00575,2014-01-05,2014-01-05,Home Office,East,Office Supplies,Binders,35.42,1,0.15,5.68
US-01255,2014-01-05,2014-01-05,Home Office,South,Technology,Accessories,106.98,1,0.15,7.58
US-01255,2014-01-05,2014-01-11,Home Office,West,Office Supplies,Appliances,114.63,1,0.15,-13.56
US-01752,2014-01-05,2014-01-08,Consumer,Central,Furniture,Tables,1476.58,2,0.0,94.99
US-03759,2014-01-05,2014-01-07,Corporate,West,Technology,Machines,1088.99,1,0.15,85.36
US-03759,2014-01-05,2014-01-06,Corporate,East,Technology,Phones,1152.44,2,0.0,223.41
US-00171,2014-01-06,2014-01-10,Consumer,West,Technology,Accessories,193.99,1,0.0,63.89
US-00171,2014-01-06,2014-01-06,Consumer,Central,Office Supplies,Paper,228.68,4,0.0,68.1
US-01272,2014-01-06,2014-01-12,Consumer,Central,Office Supplies,Paper,158.45,3,0.15,5.45
US-01440,2014-01-06,2014-01-08,Corporate,West,Office Supplies,Labels,148.44,5,0.2,21.76
US-04606,2014-01-06,2014-01-08,Consumer,West,Furniture,Chairs,2128.44,3,0.0,195.95
US-04606,2014-01-06,2014-01-08,Corporate,South,Office Supplies,Fasteners,21.75,1,0.15,0.86
US-00705,2014-01-07,2014-01-07,Consumer,Central,Furniture,Furnishings,975.2,4,0.0,320.92
US-00705,2014-01-07,2014-01-09,Consumer,Central,Technology,Accessories,1202.74,5,0.15,227.05
US-00965,2014-01-07,2014-01-13,Home Office,West,Office Supplies,Paper,786.01,4,0.0,141.67
US-00965,2014-01-07,2014-01-11,Corporate,Central,Office Supplies,Binders,56.73,1,0.1,-0.6
US-00965,2014-01-07,2014-01-13,Home Office,West,Furniture,Tables,1400.5,1,0.0,409.82
US-02028,2014-01-07,2014-01-13,Home Office,Central,Furniture,Bookcases,603.48,1,0.0,148.52
US-03362,2014-01-07,2014-01-11,Consumer,West,Technology,Copiers,9167.74,5,0.15,1066.4
US-00481,2014-01-08,2014-01-09,Corporate,East,Office Supplies,Envelopes,42.7,3,0.4,-11.01
US-01070,2014-01-08,2014-01-13,Corporate,South,Technology,Accessories,367.24,1,0.2,-4.57
US-02366,2014-01-08,2014-01-10,Corporate,West,Technology,Copiers,5295.06,4,0.1,457.8
US-02366,2014-01-08,2014-01-10,Corporate,East,Furniture,Tables,2938.92,2,0.0,616.56
US-02366,2014-01-08,2014-01-13,Corporate,Central,Furniture,Bookcases,1141.52,3,0.0,182.02
US-02884,2014-01-08,2014-01-08,Consumer,South,Furniture,Tables,410.51,1,0.15,69.46
